Phase 3C : SAC Online Training
Start: 2026-01-09 22:06:17.492659
Buildings: ['Eplus-5zone-hot-continuous-v1', 'Eplus-5zone-cool-continuous-v1', 'Eplus-5zone-mixed-continuous-v1']
Episode 115 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 116 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 117 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 118 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 119 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 120 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 121 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 122 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 123 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 124 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 125 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 126 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 127 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 128 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 129 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 130 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 131 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 132 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 133 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 134 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 135 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 136 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 137 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 138 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 139 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 140 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 141 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 142 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 143 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 144 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 145 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 146 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 147 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 148 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 149 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 150 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 151 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 152 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 153 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 154 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 155 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 156 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 157 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 158 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 159 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 160 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 161 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 162 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 163 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 164 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 165 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 166 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 167 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 168 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 169 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 170 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 171 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 172 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 173 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 174 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 175 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 176 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 177 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 178 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 179 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 180 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 181 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 182 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 183 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 184 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 185 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 186 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 187 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 188 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 189 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 190 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 191 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 192 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 193 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 194 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 195 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 196 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 197 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 198 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 199 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 200 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 201 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 202 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 203 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 204 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 205 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 206 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 207 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 208 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 209 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 210 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 211 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 212 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 213 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 214 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 215 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 216 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 217 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 218 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 219 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 220 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 221 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 222 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
