Phase 3C : TD3 Online Training
Start: 2026-01-09 22:36:14.559042
Buildings: ['Eplus-5zone-hot-continuous-v1', 'Eplus-5zone-cool-continuous-v1', 'Eplus-5zone-mixed-continuous-v1']
Episode 228 (5zone): Reward=-106.84, SOC=0.48, Cost=$0.36
Episode 229 (5zone): Reward=-44.24, SOC=0.48, Cost=$0.18
Episode 230 (5zone): Reward=-52.05, SOC=0.48, Cost=$0.20
Episode 231 (5zone): Reward=-107.65, SOC=0.48, Cost=$0.36
Episode 232 (5zone): Reward=-44.28, SOC=0.48, Cost=$0.18
Episode 233 (5zone): Reward=-51.86, SOC=0.48, Cost=$0.20
Episode 234 (5zone): Reward=-107.27, SOC=0.48, Cost=$0.36
Episode 235 (5zone): Reward=-44.61, SOC=0.48, Cost=$0.18
Episode 236 (5zone): Reward=-52.56, SOC=0.48, Cost=$0.20
Episode 237 (5zone): Reward=-107.25, SOC=0.48, Cost=$0.36
Episode 238 (5zone): Reward=-44.10, SOC=0.48, Cost=$0.18
Episode 239 (5zone): Reward=-51.89, SOC=0.48, Cost=$0.20
Episode 240 (5zone): Reward=-107.87, SOC=0.48, Cost=$0.36
Episode 241 (5zone): Reward=-44.39, SOC=0.48, Cost=$0.18
Episode 242 (5zone): Reward=-51.81, SOC=0.48, Cost=$0.20
Episode 243 (5zone): Reward=-107.81, SOC=0.48, Cost=$0.36
Episode 244 (5zone): Reward=-44.71, SOC=0.48, Cost=$0.18
Episode 245 (5zone): Reward=-51.45, SOC=0.48, Cost=$0.20
Episode 246 (5zone): Reward=-107.55, SOC=0.48, Cost=$0.36
Episode 247 (5zone): Reward=-44.48, SOC=0.48, Cost=$0.18
Episode 248 (5zone): Reward=-51.53, SOC=0.48, Cost=$0.20
Episode 249 (5zone): Reward=-108.14, SOC=0.48, Cost=$0.36
Episode 250 (5zone): Reward=-44.13, SOC=0.48, Cost=$0.18
Episode 251 (5zone): Reward=-51.88, SOC=0.48, Cost=$0.20
Episode 252 (5zone): Reward=-107.81, SOC=0.48, Cost=$0.36
Episode 253 (5zone): Reward=-44.60, SOC=0.48, Cost=$0.18
Episode 254 (5zone): Reward=-51.46, SOC=0.48, Cost=$0.20
Episode 255 (5zone): Reward=-107.10, SOC=0.48, Cost=$0.36
Episode 256 (5zone): Reward=-44.25, SOC=0.48, Cost=$0.18
Episode 257 (5zone): Reward=-51.62, SOC=0.48, Cost=$0.20
Episode 258 (5zone): Reward=-107.47, SOC=0.48, Cost=$0.36
Episode 259 (5zone): Reward=-44.52, SOC=0.48, Cost=$0.18
Episode 260 (5zone): Reward=-52.17, SOC=0.48, Cost=$0.20
Episode 261 (5zone): Reward=-107.91, SOC=0.48, Cost=$0.36
Episode 262 (5zone): Reward=-44.73, SOC=0.48, Cost=$0.18
Episode 263 (5zone): Reward=-51.77, SOC=0.48, Cost=$0.20
Episode 264 (5zone): Reward=-107.35, SOC=0.48, Cost=$0.36
Episode 265 (5zone): Reward=-44.09, SOC=0.48, Cost=$0.18
Episode 266 (5zone): Reward=-52.23, SOC=0.48, Cost=$0.20
Episode 267 (5zone): Reward=-107.31, SOC=0.48, Cost=$0.36
Episode 268 (5zone): Reward=-44.34, SOC=0.48, Cost=$0.18
Episode 269 (5zone): Reward=-52.12, SOC=0.48, Cost=$0.20
Episode 270 (5zone): Reward=-107.70, SOC=0.48, Cost=$0.36
Episode 271 (5zone): Reward=-44.56, SOC=0.48, Cost=$0.18
Episode 272 (5zone): Reward=-51.60, SOC=0.48, Cost=$0.20
Episode 273 (5zone): Reward=-107.70, SOC=0.48, Cost=$0.36
Episode 274 (5zone): Reward=-44.50, SOC=0.48, Cost=$0.18
Episode 275 (5zone): Reward=-51.67, SOC=0.48, Cost=$0.20
Episode 276 (5zone): Reward=-107.43, SOC=0.48, Cost=$0.36
Episode 277 (5zone): Reward=-44.06, SOC=0.48, Cost=$0.18
Episode 278 (5zone): Reward=-52.22, SOC=0.48, Cost=$0.20
Episode 279 (5zone): Reward=-108.03, SOC=0.48, Cost=$0.36
Episode 280 (5zone): Reward=-44.70, SOC=0.48, Cost=$0.18
Episode 281 (5zone): Reward=-52.07, SOC=0.48, Cost=$0.20
Episode 282 (5zone): Reward=-107.82, SOC=0.48, Cost=$0.36
Episode 283 (5zone): Reward=-10.91, SOC=0.50, Cost=$0.17
Episode 284 (5zone): Reward=-51.96, SOC=0.48, Cost=$0.20
Episode 285 (5zone): Reward=-107.27, SOC=0.48, Cost=$0.36
Episode 286 (5zone): Reward=-44.60, SOC=0.48, Cost=$0.18
Episode 287 (5zone): Reward=-51.50, SOC=0.48, Cost=$0.20
Episode 288 (5zone): Reward=-106.80, SOC=0.48, Cost=$0.36
Episode 289 (5zone): Reward=-44.24, SOC=0.48, Cost=$0.18
Episode 290 (5zone): Reward=-51.82, SOC=0.48, Cost=$0.20
Episode 291 (5zone): Reward=-107.70, SOC=0.48, Cost=$0.36
Episode 292 (5zone): Reward=-44.68, SOC=0.48, Cost=$0.18
Episode 293 (5zone): Reward=-51.63, SOC=0.48, Cost=$0.20
Episode 294 (5zone): Reward=-107.53, SOC=0.48, Cost=$0.36
Episode 295 (5zone): Reward=-44.61, SOC=0.48, Cost=$0.18
Episode 296 (5zone): Reward=-51.96, SOC=0.48, Cost=$0.20
Episode 297 (5zone): Reward=-107.75, SOC=0.48, Cost=$0.36
Episode 298 (5zone): Reward=-44.52, SOC=0.48, Cost=$0.18
Episode 299 (5zone): Reward=-51.95, SOC=0.48, Cost=$0.20
Episode 300 (5zone): Reward=-107.38, SOC=0.48, Cost=$0.36
Episode 301 (5zone): Reward=-44.52, SOC=0.48, Cost=$0.18
Episode 302 (5zone): Reward=-52.06, SOC=0.48, Cost=$0.20
Episode 303 (5zone): Reward=-107.64, SOC=0.48, Cost=$0.36
